status,mode,query_selector,final_selector,force_k,stop_disabled,mae,mse,oracle_match_rate,regret_to_full_oracle,average_experts_used,selection_counts,stop_step_distribution,note
ok,forced_exact_k,predicted_error,model,4,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,4.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""4"": 613}",
ok,forced_exact_k,predicted_error,oracle,4,True,0.3201832175254822,0.25975149869918823,0.8580750226974487,0.002039968967437744,4.0,"{""DLinear"": 163, ""ModernTCN"": 200, ""PatchTST"": 0, ""TimesNet"": 155, ""iTransformer"": 95}","{""4"": 613}",
ok,forced_exact_k,predicted_error,equal_average,4,True,0.35010042786598206,0.31092873215675354,,0.03195717930793762,4.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 0, ""TimesNet"": 613, ""iTransformer"": 613}","{""4"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,predicted_error,learned_sparse_mixer,4,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,predicted_error,model,5,True,0.3700985014438629,0.3458804190158844,0.19086460769176483,0.05195525288581848,5.0,"{""DLinear"": 613, ""ModernTCN"": 0, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""5"": 613}",
ok,forced_exact_k,predicted_error,oracle,5,True,0.31814324855804443,0.2539284825325012,1.0,0.0,5.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""5"": 613}",
ok,forced_exact_k,predicted_error,equal_average,5,True,0.35006529092788696,0.30973756313323975,,0.03192204236984253,5.0,"{""DLinear"": 613, ""ModernTCN"": 613, ""PatchTST"": 613, ""TimesNet"": 613, ""iTransformer"": 613}","{""5"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,predicted_error,learned_sparse_mixer,5,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,oracle_improvement,model,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,forced_exact_k,oracle_improvement,oracle,1,True,0.3653925955295563,0.3352326452732086,0.2349102795124054,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",
ok,forced_exact_k,oracle_improvement,equal_average,1,True,0.3653925955295563,0.3352326452732086,,0.04724934697151184,1.0,"{""DLinear"": 297, ""ModernTCN"": 316, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 0}","{""1"": 613}",selection_counts are utilization counts because forecasts are averaged
skipped,forced_exact_k,oracle_improvement,learned_sparse_mixer,1,True,,,,,,{},{},learned sparse queried-subset mixer is not available in the current COSTARTS checkpoint
ok,forced_exact_k,oracle_improvement,model,2,True,0.36354079842567444,0.3335804343223572,0.28874388337135315,0.045397549867630005,2.0,"{""DLinear"": 403, ""ModernTCN"": 201, ""PatchTST"": 0, ""TimesNet"": 0, ""iTransformer"": 9}","{""2"": 613}",
ok,forced_exact_k,oracle_improvement,oracle,2,True,0.31814324855804443,0.2539284825325012,1.0,0.0,2.0,"{""DLinear"": 117, ""ModernTCN"": 181, ""PatchTST"": 87, ""TimesNet"": 139, ""iTransformer"": 89}","{""2"": 613}",
